"DisplayName","SamAccountName","Department","Enabled","PasswordLastSet","PasswordAgeDays","CompliantUnder90Days"
,"Administrator",,"True","4/28/2026 9:32:23 PM","5","True"
,"Guest",,"False",,"Never Set","False"
,"krbtgt",,"False","4/28/2026 8:20:53 PM","5","True"
"test user","testuser",,"True","4/28/2026 8:39:34 PM","5","True"
,"jcarter","Engineering","True","5/3/2026 6:59:53 PM","0","True"
,"mlopez","Engineering","True","5/3/2026 6:59:54 PM","0","True"
,"dkim","Finance","True","5/3/2026 6:59:54 PM","0","True"
,"sjohnson","Finance","False","5/3/2026 6:59:54 PM","0","True"
,"rchen","Finance","False","5/3/2026 6:59:54 PM","0","True"
,"amorris","HR","True","5/3/2026 6:59:54 PM","0","True"
,"kbrown","HR","True","5/3/2026 6:59:54 PM","0","True"
,"lturner","HR","False","5/3/2026 6:59:54 PM","0","True"
,"mdavis","IT","True","5/3/2026 6:59:54 PM","0","True"
,"ppatel","IT","True","5/3/2026 6:59:54 PM","0","True"
,"tscott","IT","False","5/3/2026 6:59:54 PM","0","True"
,"nward","Marketing","True","5/3/2026 6:59:54 PM","0","True"
,"bhughes","Marketing","True","5/3/2026 6:59:54 PM","0","True"
,"sreed","Marketing","False","5/3/2026 6:59:54 PM","0","True"
,"cmendez","Engineering","False","5/3/2026 6:59:54 PM","0","True"
